Order_ID,Order_Date,Region,Customer_Type,Warehouse_Location,Order_Quantity,Order_Value,Stock_Availability,Fulfillment_Rate,Delivery_Time (Days),Transportation_Cost,Delayed_Delivery,Shipment_Date,Product_Category,Product_Weight (kg),Order_Priority,Payment_Method,Warehouse_Capacity_Utilization (%),Stock_Replenishment_Time (Days),Carrier_Name,Mode_of_Transport,Profit_Margin (%),Operational_Cost (₹),Discount_Offered (%),Lost_Sales (₹),Order_Quarter,Lead_Time (Days),On_Time_Delivery (%),Customer_Rating (1-5),Return_Status,Reason_for_Return,Risk_Category
10016,11/19/2023 11:21,Central,Retail,Kolkata,104,37384.74696,784,0.74,9,1005.41,1,11/20/2023 11:21,Automobile Parts,10.32,Low,Cash,78.76,5,Delhivery,Road,28.92,2171.68,10.37,4336.48,2023Q4,1,82.51,2,No,N/A,Low
10017,6/26/2024 15:55,Central,Corporate,Delhi,328,38419.24925,929,0.85,10,2142.74,0,7/3/2024 15:55,Electronics,42.61,Medium,Credit Card,77.21,12,Delhivery,Ship,11.34,4643.62,6.07,668.61,2024Q2,7,96.52,2,No,N/A,High
10018,4/18/2023 12:57,South,Wholesale,Mumbai,245,89137.0153,388,0.91,11,5895.72,0,4/23/2023 12:57,Apparel,14.62,Low,UPI,83.19,12,DHL,Air,23.87,16067.55,0,2154.11,2023Q2,5,87.6,1,No,N/A,Medium
10019,1/17/2024 11:06,South,E-commerce,Bangalore,180,40528.91354,428,0.88,6,3216,0,1/19/2024 11:06,Furniture,49.12,Low,Credit Card,59.73,11,FedEx,Rail,25.72,4361.01,9.72,521.89,2024Q1,2,93.3,1,No,N/A,Medium
10020,10/16/2023 19:36,West,E-commerce,Mumbai,66,7322.050298,773,0.73,13,339.12,1,10/17/2023 19:36,Groceries,32.15,High,UPI,98.73,2,Blue Dart,Rail,18.33,1275.81,10.51,4983.3,2023Q4,1,95.9,2,No,N/A,Medium
10021,12/11/2024 5:09,South,Retail,Chennai,39,16043.36362,141,0.9,7,1265.13,0,12/18/2024 5:09,Electronics,27.31,Low,Credit Card,63.4,8,Delhivery,Ship,21.04,1425.76,19.32,3261.99,2024Q4,7,93.47,4,No,N/A,Medium
10022,9/14/2024 9:17,Central,E-commerce,Bangalore,265,106480.5378,711,0.84,13,8223.38,1,9/20/2024 9:17,Groceries,43.94,Medium,UPI,98.16,2,India Post,Ship,26.48,14823.31,10.08,2868.55,2024Q3,6,88.59,1,Yes,Wrong Product,Low
10023,1/15/2024 10:03,Central,E-commerce,Delhi,38,8072.908419,848,0.8,5,199.32,1,1/19/2024 10:03,Apparel,38.43,High,Credit Card,63.95,9,Blue Dart,Rail,23.58,1571.51,11.82,730.4,2024Q1,4,84.71,2,No,N/A,Medium
10024,6/3/2024 22:59,West,Retail,Delhi,195,46566.76298,331,0.87,14,4474.65,0,6/8/2024 22:59,Automobile Parts,26.93,High,Net Banking,98.04,3,DHL,Road,15.31,9287.99,18.6,4398.62,2024Q2,5,98.67,2,Yes,Late Delivery,Medium
10025,4/3/2024 11:39,Central,Retail,Delhi,53,25928.43989,341,0.87,7,1650.65,0,4/12/2024 11:39,Automobile Parts,24.26,High,Cash,53.59,3,DHL,Ship,7.04,2824.93,13.15,2161.57,2024Q2,9,98.13,1,No,N/A,Medium
10026,2/25/2023 18:39,East,Retail,Delhi,268,51136.22323,376,0.84,12,2979.78,0,3/2/2023 18:39,Apparel,19.99,High,Net Banking,97.7,4,Blue Dart,Road,21.45,4671.2,15.5,2494.38,2023Q1,5,86.99,5,No,N/A,High
10027,11/1/2023 8:49,South,Corporate,Mumbai,30,8617.62593,298,0.9,4,624.69,0,11/4/2023 8:49,Furniture,21.04,High,UPI,95.1,12,Delhivery,Air,22.07,1006.3,4.39,3227.51,2023Q4,3,83.02,3,No,N/A,Low
10028,10/18/2024 20:19,South,Wholesale,Delhi,263,130469.2426,164,0.83,2,6715.05,0,10/26/2024 20:19,Automobile Parts,25.11,High,Cash,56.04,6,Blue Dart,Rail,14.56,12866.09,16.3,3426.26,2024Q4,8,88.5,3,No,N/A,Medium
10029,11/23/2024 6:07,South,Retail,Kolkata,301,92161.05464,332,0.7,11,8357.87,0,11/28/2024 6:07,Automobile Parts,48.91,High,UPI,76.37,7,DHL,Rail,20.88,17643.19,13.62,2535.89,2024Q4,5,91.19,4,No,N/A,Low
10030,11/10/2023 11:50,East,Retail,Mumbai,302,21651.00692,706,0.78,7,896,0,11/15/2023 11:50,Furniture,21.81,Medium,UPI,73.9,10,Blue Dart,Rail,21.53,4222.49,8.96,2912.54,2023Q4,5,84.51,1,No,N/A,High
10031,10/10/2023 0:39,East,E-commerce,Chennai,28,2738.537656,808,0.96,11,162.7,0,10/11/2023 0:39,Electronics,44.03,Medium,Net Banking,57.68,3,FedEx,Ship,12.29,337.34,1.25,4005.88,2023Q4,1,86.04,1,No,N/A,High
10032,5/22/2023 6:27,South,Corporate,Mumbai,78,13876.21862,781,0.74,14,915.49,0,5/31/2023 6:27,Apparel,8.27,Low,Credit Card,78.09,13,India Post,Road,20.86,1502.3,5.1,1063.35,2023Q2,9,82.77,4,Yes,Wrong Product,Medium
10033,9/29/2024 8:29,East,Corporate,Bangalore,484,104341.9,118,0.89,1,7963.74,0,9/30/2024 8:29,Groceries,17.52,High,Credit Card,62.93,14,DHL,Road,24.25,12186.44,4.88,3685.68,2024Q3,1,95.74,1,No,N/A,High
10034,4/15/2024 7:30,East,E-commerce,Mumbai,334,104677.4996,209,0.91,3,4747.38,0,4/23/2024 7:30,Automobile Parts,15.67,Low,Cash,68.61,14,DHL,Air,6.8,18190.68,14.1,3036.85,2024Q2,8,85.51,2,No,N/A,Medium
10035,6/11/2023 20:34,Central,Wholesale,Kolkata,400,187402.7849,144,0.93,4,13767.14,0,6/12/2023 20:34,Apparel,32.22,High,Cash,68.52,7,Delhivery,Ship,29.19,19607.9,2.24,505.3,2023Q2,1,92.68,1,No,N/A,Medium
10036,6/19/2023 14:18,South,Corporate,Bangalore,324,148083.7313,252,0.76,12,11758.39,0,6/26/2023 14:18,Electronics,13.27,Low,Credit Card,80.69,11,FedEx,Air,24.75,17014.92,2.38,3956.54,2023Q2,7,84.19,4,No,N/A,Low
10037,2/26/2024 7:48,Central,Corporate,Kolkata,171,29420.33561,725,0.7,10,2290.89,0,3/4/2024 7:48,Groceries,32.42,Medium,Credit Card,84.56,3,DHL,Road,11.06,1537.02,0.44,4043.71,2024Q1,7,96.6,4,Yes,Wrong Product,Medium
10038,4/16/2023 20:39,North,Retail,Mumbai,347,116257.2102,136,0.75,1,2914.12,0,4/18/2023 20:39,Furniture,42.2,High,Cash,52.12,2,FedEx,Rail,10.72,23195.71,0.13,2602.92,2023Q2,2,83.9,5,No,N/A,Medium
10039,5/28/2023 18:24,North,Wholesale,Kolkata,424,131216.263,314,0.98,8,4792.08,0,5/31/2023 18:24,Electronics,36.41,Low,UPI,72.17,12,Blue Dart,Road,15.08,12603.43,9.12,2170.43,2023Q2,3,89.15,5,No,N/A,Low
10040,4/13/2023 8:32,South,Corporate,Delhi,468,222009.0314,969,0.98,8,6623.96,0,4/22/2023 8:32,Groceries,27.44,Low,Cash,93.1,5,India Post,Road,11.89,40617.59,11.85,576.26,2023Q2,9,94.8,2,No,N/A,Low
10041,1/14/2024 7:46,West,Retail,Mumbai,348,54969.00003,366,0.86,12,2535.66,0,1/22/2024 7:46,Apparel,31.31,High,Credit Card,94.95,9,FedEx,Ship,12.62,7318.7,5.86,4636.83,2024Q1,8,87.7,4,Yes,Damaged,Low
10042,6/20/2024 12:44,East,E-commerce,Bangalore,196,47026.30353,650,0.84,11,2073.54,0,6/24/2024 12:44,Automobile Parts,48.47,Medium,Net Banking,65.32,6,India Post,Rail,7.78,5722.19,7.06,4218.28,2024Q2,4,94.17,5,No,N/A,Low
10043,3/1/2023 10:16,West,Corporate,Delhi,350,89112.52894,596,0.86,11,5829.27,0,3/7/2023 10:16,Apparel,7.43,Low,Net Banking,73.68,12,Delhivery,Rail,19.13,8725.81,8.17,1075.79,2023Q1,6,86.04,5,No,N/A,Medium
10044,2/25/2023 15:09,West,E-commerce,Chennai,84,33111.78206,900,0.89,11,2583.95,1,3/1/2023 15:09,Furniture,23.97,Low,Net Banking,92.51,3,FedEx,Rail,27.54,2983.84,9.04,227.09,2023Q1,4,91.71,2,No,N/A,High
10045,8/31/2023 19:44,West,Retail,Kolkata,59,4810.57505,553,0.93,9,362.75,0,9/5/2023 19:44,Electronics,2.83,Medium,UPI,97.72,4,India Post,Air,13.77,410.92,2.58,3583.97,2023Q3,5,87.25,4,No,N/A,Low
10046,6/23/2024 23:05,Central,Wholesale,Chennai,290,127638.4138,395,0.95,9,7218.26,0,7/1/2024 23:05,Groceries,29.65,Medium,Cash,87.25,9,India Post,Air,11.48,6905.45,16.02,3287.86,2024Q2,8,84.61,1,No,N/A,Medium
10047,5/25/2024 5:57,West,Retail,Kolkata,19,1934.673069,727,0.93,7,124.42,1,5/30/2024 5:57,Groceries,0.9,Low,Cash,92.13,14,FedEx,Rail,13.08,154.71,9.1,1962.52,2024Q2,5,99.32,2,No,N/A,Medium
10048,12/29/2023 20:18,North,Corporate,Bangalore,25,10228.3509,282,0.85,10,958.66,0,1/4/2024 20:18,Electronics,38.29,Medium,UPI,59.73,13,FedEx,Road,19.29,755.49,5.58,4938.87,2023Q4,6,85.18,5,No,N/A,Low
10049,6/7/2023 9:41,East,Retail,Mumbai,398,96610.10366,640,0.71,9,8825.35,0,6/8/2023 9:41,Apparel,26.36,Medium,Credit Card,93.71,3,Delhivery,Road,8.7,11398.76,7.56,4729.79,2023Q2,1,85.82,4,No,N/A,Medium
10050,7/30/2024 7:40,East,Wholesale,Bangalore,313,44512.68226,600,0.99,1,3499.98,0,7/31/2024 7:40,Furniture,2.56,Medium,UPI,76.92,14,Delhivery,Road,7.15,6732.29,9.96,2667.13,2024Q3,1,90.3,1,No,N/A,Medium
10051,12/16/2023 11:39,South,Wholesale,Bangalore,199,30012.92537,116,0.86,7,1749.8,0,12/25/2023 11:39,Automobile Parts,30.35,Medium,Credit Card,86.56,4,Delhivery,Air,6.43,4006.37,10.43,3025.43,2023Q4,9,84.51,3,No,N/A,Medium
10052,2/26/2023 8:40,East,Corporate,Bangalore,245,79079.35883,112,0.72,3,7617.65,0,2/27/2023 8:40,Automobile Parts,11.68,High,Cash,53.58,13,India Post,Air,23.93,4904.72,10.25,904.83,2023Q1,1,93.75,5,No,N/A,High
10053,12/12/2024 12:41,Central,Wholesale,Mumbai,498,133756.4675,986,0.77,3,11512.15,0,12/14/2024 12:41,Electronics,41.07,Low,Credit Card,96.69,7,DHL,Road,13.96,9504.35,13.35,63.28,2024Q4,2,93.47,4,No,N/A,Medium
10054,2/21/2023 4:16,North,E-commerce,Delhi,485,87889.07351,588,0.9,10,4679.02,0,2/28/2023 4:16,Electronics,47.7,Low,Cash,83.5,7,Blue Dart,Ship,21.98,10819.51,11.88,3511.93,2023Q1,7,83.76,5,No,N/A,Low
10055,1/18/2023 5:30,West,E-commerce,Bangalore,418,45633.00706,946,0.97,13,3134.63,0,1/26/2023 5:30,Automobile Parts,18.97,High,Cash,62.27,8,Blue Dart,Air,15.54,3911.17,8.37,3524.64,2023Q1,8,98,1,No,N/A,Low
10056,1/28/2024 13:26,South,E-commerce,Delhi,46,21872.46241,315,0.78,1,1447.16,0,2/6/2024 13:26,Groceries,34.57,Medium,Cash,83.32,10,India Post,Ship,12.21,2715.35,2.47,1390.5,2024Q1,9,91.52,4,No,N/A,Medium
10057,8/9/2024 9:28,South,Wholesale,Mumbai,298,23148.24259,779,0.81,12,645.6,1,8/13/2024 9:28,Electronics,26.82,Medium,UPI,51,4,FedEx,Rail,24.99,4047.73,8.67,4560.51,2024Q3,4,94.98,4,Yes,Damaged,High
10058,7/1/2023 18:54,North,E-commerce,Mumbai,282,106719.8264,939,0.75,11,2436.44,0,7/4/2023 18:54,Furniture,31.84,Low,UPI,55.38,2,FedEx,Ship,29.6,17078.5,4.26,3814.6,2023Q3,3,90.53,3,No,N/A,Low
10059,10/1/2023 6:23,Central,E-commerce,Chennai,27,6978.483384,889,0.76,6,343,0,10/5/2023 6:23,Automobile Parts,25.27,High,Net Banking,87.56,14,DHL,Rail,25.77,594.68,5.02,3956.1,2023Q4,4,81.88,4,Yes,Late Delivery,Low
10060,6/16/2024 8:51,Central,Wholesale,Mumbai,183,79819.89465,334,0.76,11,4317.77,0,6/19/2024 8:51,Groceries,17.45,High,Cash,96.48,6,DHL,Rail,8.09,4251.34,6.91,3082.45,2024Q2,3,87.83,1,No,N/A,Low
10061,5/6/2024 1:07,South,E-commerce,Mumbai,399,82625.35025,520,0.86,4,2683.97,0,5/14/2024 1:07,Automobile Parts,6.78,High,Cash,85.45,3,Blue Dart,Air,16.73,15133,13.79,1555.29,2024Q2,8,96.53,5,No,N/A,High
10062,2/2/2024 21:21,South,Corporate,Chennai,159,44914.50152,756,0.82,3,1250.12,0,2/10/2024 21:21,Automobile Parts,6.9,High,UPI,89.17,5,Delhivery,Rail,13.62,5750.71,12.51,2609.46,2024Q1,8,93.99,3,No,N/A,Low
10063,7/30/2024 0:39,North,E-commerce,Mumbai,87,26136.57275,434,0.95,8,2378.92,0,8/7/2024 0:39,Groceries,2.83,Medium,UPI,65.17,2,FedEx,Road,12.98,5162.43,4.58,2721.11,2024Q3,8,85.82,1,No,N/A,Medium
10064,5/8/2023 14:48,North,Wholesale,Mumbai,444,209993.2889,833,0.92,3,8299.28,0,5/13/2023 14:48,Electronics,35.8,Low,Cash,93.92,5,DHL,Road,28.74,41497.86,16.41,754.04,2023Q2,5,82.37,1,No,N/A,Low
10065,3/19/2024 12:27,West,Wholesale,Kolkata,242,37088.31898,181,0.96,4,3532.29,1,3/22/2024 12:27,Furniture,31.86,Medium,Cash,82.21,12,Blue Dart,Rail,11.07,7059.11,9.18,1187.14,2024Q1,3,98.57,4,No,N/A,Low
10066,11/11/2024 5:00,West,Wholesale,Kolkata,60,15604.12207,387,0.92,8,1076.17,1,11/16/2024 5:00,Furniture,28.6,Medium,Cash,99.39,6,FedEx,Road,23.73,2875.64,13.74,4791.36,2024Q4,5,99.45,2,No,N/A,High
10067,6/30/2024 4:01,Central,Wholesale,Mumbai,64,13864.11707,868,0.8,2,1290.19,0,7/5/2024 4:01,Electronics,3.22,Medium,Cash,56.11,4,India Post,Ship,14.87,2655.11,12.06,3443.94,2024Q2,5,84.39,4,No,N/A,Low
10068,5/11/2024 10:47,Central,E-commerce,Chennai,405,68824.03582,143,0.87,3,4406.93,1,5/12/2024 10:47,Furniture,21.4,Low,Credit Card,96.29,10,Blue Dart,Ship,23.46,9178.15,10.76,2943.5,2024Q2,1,85.75,3,No,N/A,Medium
10069,6/15/2024 15:20,Central,E-commerce,Chennai,153,65570.82859,773,0.99,4,6510.73,0,6/24/2024 15:20,Apparel,44.62,Low,Cash,56.93,14,Blue Dart,Rail,13.96,3672.24,2.59,1135.04,2024Q2,9,90.67,4,No,N/A,Low
10070,6/9/2024 15:39,West,Retail,Chennai,468,190846.3455,186,0.78,12,10638.24,0,6/15/2024 15:39,Apparel,4.61,High,UPI,61.33,7,India Post,Ship,25.37,22804.68,12.33,4170.67,2024Q2,6,91.21,2,No,N/A,Medium
10071,5/18/2024 2:14,North,Wholesale,Mumbai,241,14162.58103,962,0.94,12,613.77,1,5/21/2024 2:14,Electronics,22.7,Medium,UPI,74.1,4,FedEx,Rail,14.58,1332.23,11.45,3009.09,2024Q2,3,82.95,4,No,N/A,Low
10072,6/25/2023 17:29,South,Wholesale,Mumbai,464,89851.47352,92,0.87,9,5898.06,0,6/26/2023 17:29,Groceries,5.86,Low,Credit Card,96.29,2,DHL,Rail,8.98,6645.6,10.63,2087.55,2023Q2,1,85.25,4,Yes,Wrong Product,Low
10073,11/30/2023 15:26,East,Corporate,Bangalore,116,17503.36812,123,0.96,3,1301.29,0,12/8/2023 15:26,Furniture,12.62,High,Net Banking,57.26,9,Delhivery,Air,13.3,1305.52,12.36,4271.44,2023Q4,8,82.38,5,No,N/A,Medium
10074,5/10/2023 19:22,South,E-commerce,Bangalore,237,67912.45824,627,0.92,5,2878.34,0,5/17/2023 19:22,Automobile Parts,39.7,Medium,UPI,76.35,13,Delhivery,Ship,29.03,9738.41,17.23,3460.16,2023Q2,7,93.11,4,Yes,Wrong Product,Low
10075,3/16/2024 23:08,East,Wholesale,Kolkata,118,46145.42116,818,0.93,2,1048.06,0,3/20/2024 23:08,Electronics,14.65,High,Cash,52.29,3,Blue Dart,Road,11.03,8257.15,16.72,2589.49,2024Q1,4,82.1,2,No,N/A,Medium
10076,7/8/2023 19:07,North,E-commerce,Delhi,180,55224.5902,697,0.74,13,2042.67,0,7/15/2023 19:07,Electronics,32.93,High,Cash,96.49,7,DHL,Rail,27.78,7103.51,19.58,2009.61,2023Q3,7,93.35,4,No,N/A,Low
10077,9/8/2023 2:57,South,Retail,Bangalore,191,39053.71901,379,0.96,10,2441.93,0,9/16/2023 2:57,Apparel,35.21,Medium,Cash,52.64,13,India Post,Rail,17.33,3940.65,7.54,225.6,2023Q3,8,88.65,2,No,N/A,Medium
10078,5/18/2024 23:15,East,E-commerce,Delhi,437,26276.30053,480,0.89,2,706.59,0,5/24/2024 23:15,Automobile Parts,36.78,Low,UPI,85.48,12,DHL,Rail,12.29,4938.7,8.36,3178.79,2024Q2,6,86.59,4,No,N/A,Low
10079,7/19/2023 19:42,North,Wholesale,Chennai,274,114314.9047,325,0.79,10,5534.54,1,7/26/2023 19:42,Furniture,42.49,Medium,Cash,75.48,11,Blue Dart,Road,22.37,16204.91,12.86,220.05,2023Q3,7,90.66,1,No,N/A,High
10080,4/27/2023 21:13,West,E-commerce,Mumbai,76,14887.17105,274,0.96,5,459.91,0,5/4/2023 21:13,Groceries,33.73,High,UPI,94.51,11,FedEx,Rail,16.12,2170.64,2.21,3043.37,2023Q2,7,99.44,5,No,N/A,Low
10081,1/9/2023 20:00,West,Retail,Chennai,264,17848.51544,520,0.88,1,1568.82,0,1/16/2023 20:00,Automobile Parts,40.23,High,UPI,84.22,13,India Post,Air,13.14,2560.24,12.85,2697.51,2023Q1,7,90.61,4,No,N/A,Medium
10082,2/15/2024 19:29,South,Wholesale,Kolkata,101,43588.02076,204,0.95,11,1178.13,0,2/16/2024 19:29,Groceries,4.78,Medium,Net Banking,92.54,6,FedEx,Road,7.15,4252.05,12.91,4129.16,2024Q1,1,87.51,2,No,N/A,High
10083,11/18/2024 5:13,South,E-commerce,Chennai,435,85853.36454,586,0.94,12,3917.9,0,11/20/2024 5:13,Electronics,32.07,Low,Net Banking,74.97,12,India Post,Air,15.95,13079.01,17.42,4012.27,2024Q4,2,97.1,1,Yes,Wrong Product,High
10084,8/25/2024 5:41,West,Wholesale,Delhi,342,94977.55074,826,0.86,7,8072.37,0,8/31/2024 5:41,Electronics,6.96,Medium,Net Banking,73.1,7,FedEx,Air,12.58,18463.15,7.91,1750.63,2024Q3,6,94.74,1,No,N/A,High
10085,6/26/2023 11:00,West,E-commerce,Kolkata,353,126866.9003,888,0.93,12,10457.65,1,7/2/2023 11:00,Automobile Parts,24.58,Low,Net Banking,95.03,14,Delhivery,Road,19.68,13343.47,11.98,3773.14,2023Q2,6,97.61,2,No,N/A,Medium
10086,4/25/2024 11:03,West,E-commerce,Bangalore,355,70105.77621,626,0.8,2,5009.34,0,4/28/2024 11:03,Furniture,22.75,High,Credit Card,84.61,14,DHL,Road,22.15,7840.17,12.88,4158.45,2024Q2,3,83.12,1,No,N/A,Low
10087,9/23/2023 12:39,West,Wholesale,Kolkata,156,51891.2311,977,0.85,3,4709.04,0,9/28/2023 12:39,Furniture,22.58,Medium,Net Banking,95.9,13,FedEx,Air,23.83,9649.59,12.21,1292.03,2023Q3,5,90.25,5,No,N/A,High
10088,1/16/2023 6:12,Central,Retail,Bangalore,274,105195.5852,619,0.99,13,7472.4,0,1/22/2023 6:12,Furniture,38.53,High,Cash,87.33,11,DHL,Air,19.59,15290.03,8.04,2537.66,2023Q1,6,81.63,3,No,N/A,High
10089,6/8/2023 22:29,North,Corporate,Mumbai,176,48203.32631,687,0.85,11,4150.68,0,6/10/2023 22:29,Furniture,23.6,High,Credit Card,52,13,India Post,Rail,11.68,5989.02,12.95,4826.57,2023Q2,2,87.59,3,Yes,Late Delivery,Medium
10090,4/21/2024 15:57,North,Retail,Bangalore,332,60679.09489,397,0.86,9,4480.84,0,4/28/2024 15:57,Furniture,14.08,Medium,UPI,55.8,8,India Post,Ship,25.68,6335.03,15.66,3075.55,2024Q2,7,92.7,2,No,N/A,High
10091,9/23/2023 0:23,West,Retail,Chennai,275,30476.85187,793,0.93,6,1260.69,0,9/29/2023 0:23,Furniture,4.47,Medium,UPI,74.32,9,India Post,Road,21.06,4115.26,2.72,4205.88,2023Q3,6,92.64,2,Yes,Late Delivery,Medium
10092,10/1/2024 11:18,West,Corporate,Kolkata,360,20414.86418,481,0.82,5,930.95,0,10/8/2024 11:18,Automobile Parts,10.79,High,Net Banking,78.17,9,Blue Dart,Ship,12.17,1308.63,12.11,4863.35,2024Q4,7,84.34,5,No,N/A,Medium
10093,6/17/2023 2:43,South,Retail,Mumbai,145,49391.54885,701,0.86,1,4121.22,0,6/25/2023 2:43,Automobile Parts,15,High,Credit Card,76.63,10,Delhivery,Road,22.94,5923.57,9.97,2239.25,2023Q2,8,88.13,2,No,N/A,Medium
10094,2/4/2024 10:09,North,Corporate,Chennai,426,173988.9558,195,0.75,6,4765.81,0,2/9/2024 10:09,Electronics,29.82,Low,Net Banking,50.98,10,Delhivery,Rail,6.18,29628.86,10.19,3313.7,2024Q1,5,81.73,3,No,N/A,High
10095,11/16/2024 0:39,Central,Wholesale,Bangalore,237,93192.2287,209,0.83,13,3941.68,0,11/18/2024 0:39,Electronics,5.19,Low,Cash,98.77,6,India Post,Ship,27.49,6016.09,10.03,468.7,2024Q4,2,92.99,5,No,N/A,Medium
10096,6/6/2023 19:40,West,Retail,Bangalore,144,48747.60333,755,0.75,11,1529.3,0,6/14/2023 19:40,Groceries,36.93,Medium,Net Banking,74.34,14,Blue Dart,Rail,23.09,3964.88,19.6,4133.94,2023Q2,8,93.79,4,No,N/A,Medium
10097,2/9/2024 7:32,West,E-commerce,Delhi,488,170302.6274,479,0.93,10,10460.41,0,2/13/2024 7:32,Furniture,41.94,Low,Net Banking,73.13,5,FedEx,Rail,20.09,22103.83,7.81,2353.36,2024Q1,4,83.48,5,No,N/A,High
10098,6/3/2023 7:34,West,Retail,Kolkata,240,113702.6283,605,0.99,3,3843.57,0,6/10/2023 7:34,Groceries,24.04,Medium,Credit Card,89.04,2,Blue Dart,Rail,22.51,11826.21,10.39,2021.4,2023Q2,7,88.01,5,Yes,Late Delivery,Low
10099,8/26/2023 13:34,Central,E-commerce,Delhi,192,48881.98729,798,0.89,13,2649.33,0,8/31/2023 13:34,Apparel,4.24,Medium,Cash,54.32,9,India Post,Road,16.7,6678.18,8.77,933.58,2023Q3,5,91.22,5,No,N/A,Low
